,checking_acc_numeric,time_credit_acc,credit_history_numeric,purpose_numeric,amount,savings_acc_numeric,p_employment_time_numeric,installment_rate,marita_status_sex_numeric,other_debtors_numeric,p_residence_time,property_numeric,age,other_installment_numeric,housing_numeric,number_of_credits,job_numeric,dependants,has_phone_numeric,foreign_worker_numeric,is_good,nearest_neighbors,random_forest
641,2,15,4,7,1308,1,5,4,1,1,4,2,38,0,1,2,2,1,0,1,1,0.7,0.9575
906,1,21,4,2,3763,0,4,2,1,3,2,4,24,0,1,1,2,1,0,0,1,0.8,0.9025
805,1,36,4,2,9271,1,4,2,1,1,1,2,24,0,1,1,3,1,1,1,2,0.5,0.195
893,2,36,3,4,5800,1,3,3,1,1,4,2,34,0,1,2,3,1,1,1,1,0.8,0.9175
389,4,9,4,5,1449,1,4,3,2,1,2,2,27,0,1,2,3,1,0,1,1,0.9,0.9425
121,4,24,3,4,3868,1,5,4,2,1,2,2,41,0,2,2,4,1,1,1,1,0.8,0.9425
837,4,4,4,3,601,1,2,1,2,1,3,4,23,0,2,1,2,2,0,1,1,0.8,0.8775
187,2,16,3,2,1175,1,1,2,1,1,3,2,68,0,0,3,1,1,1,1,1,0.3,0.91
16,4,24,3,1,2424,0,5,4,1,1,4,3,53,0,1,2,3,1,0,1,1,1.0,0.985
773,4,24,3,1,2223,2,5,4,1,1,4,3,52,2,1,2,3,1,0,1,1,0.7,0.955
493,2,6,4,1,368,0,5,4,1,1,4,3,38,0,1,1,3,1,0,1,1,0.7,0.9225
341,1,21,4,3,3599,1,4,1,2,1,4,2,26,0,2,1,2,1,0,1,1,0.8,0.96
426,4,28,3,1,2743,1,5,4,1,1,2,2,29,0,1,2,3,1,0,1,1,1.0,0.915
467,4,48,2,1,7238,0,5,3,1,1,3,2,32,2,1,2,3,2,0,1,1,0.8,0.9425
106,4,18,1,2,6458,1,5,2,1,1,4,0,39,2,1,2,4,2,1,1,2,0.7,0.1375
408,4,24,4,1,3235,3,5,3,4,1,2,2,26,0,1,1,4,1,1,1,1,1.0,0.9325
23,2,12,3,4,1804,2,2,3,1,1,4,3,44,0,1,1,3,1,0,1,1,0.8,0.89
831,1,18,4,2,1216,1,2,4,2,1,3,2,23,0,2,1,3,1,1,1,2,0.6,0.22
69,4,36,4,1,2394,0,3,4,2,1,4,2,25,0,1,1,3,1,0,1,1,0.9,0.79
900,1,16,3,2,2625,1,5,2,1,2,4,3,43,2,2,1,3,1,1,1,2,0.2,0.325
676,4,24,3,3,5150,1,5,4,1,1,4,2,33,0,1,1,3,1,1,1,1,1.0,0.9125
801,2,18,3,1,1795,1,5,3,2,2,4,4,48,2,2,2,2,1,1,1,1,0.8,0.975
599,4,24,2,5,3863,1,3,1,1,1,2,0,32,0,0,1,3,1,0,1,1,0.9,0.9025
643,4,24,3,1,1851,1,4,4,3,2,2,2,33,0,1,2,3,1,1,1,1,0.9,0.9825
339,2,10,4,3,1521,1,3,4,4,1,2,2,31,0,1,1,2,1,0,1,1,0.5,0.9
701,1,48,3,4,6331,1,5,4,1,1,4,0,46,0,0,2,3,1,1,1,2,0.4,0.33
873,4,15,4,10,874,0,2,4,2,1,1,4,24,0,1,1,3,1,0,1,1,1.0,0.8975
74,1,36,4,6,1977,0,5,4,1,1,4,0,40,0,1,1,4,1,1,1,2,0.4,0.365
218,1,24,4,3,3021,1,3,2,4,1,2,4,24,0,2,1,2,1,0,1,1,0.6,0.75
525,2,26,4,4,7966,1,2,2,1,1,3,2,30,0,1,2,3,1,0,1,1,0.8,0.83
265,2,15,4,1,802,1,5,4,1,1,3,2,37,0,1,1,3,2,0,1,2,0.8,0.1
891,4,15,3,1,1829,1,5,4,1,1,4,2,46,0,1,2,3,1,1,1,1,1.0,0.97
110,2,6,2,5,1449,2,5,1,4,1,2,2,31,2,1,2,3,2,0,1,1,0.7,0.8825
435,2,12,4,1,1484,0,3,2,3,1,1,4,25,0,1,1,3,1,1,1,2,0.7,0.325
980,2,30,3,3,8386,1,4,2,1,1,2,3,49,0,1,1,3,1,0,1,2,0.4,0.2275
632,2,15,4,1,1444,0,2,4,1,1,1,3,23,0,1,1,3,1,0,1,1,0.7,0.9
185,4,15,3,1,1360,1,3,4,1,1,2,3,31,0,1,2,3,1,0,1,1,1.0,0.9675
286,1,48,4,4,4788,1,4,4,1,1,3,3,26,0,1,1,3,2,0,1,1,0.5,0.7875
582,4,9,4,3,1388,1,3,4,2,1,2,4,26,0,2,1,3,1,0,1,1,0.7,0.84
899,1,18,4,3,4153,1,3,2,1,3,3,2,42,0,1,1,3,1,0,1,2,0.8,0.225
459,4,18,4,1,4594,1,2,3,1,1,2,2,32,0,1,1,3,1,1,1,1,1.0,0.825
415,4,36,3,4,5842,1,5,2,1,1,2,3,35,0,1,2,3,2,1,1,1,1.0,0.9325
61,2,15,3,1,1537,0,5,4,1,2,4,4,50,0,1,2,3,1,1,1,1,0.8,0.9875
347,2,24,4,1,3758,3,1,1,2,1,4,0,23,0,2,1,1,1,0,1,1,0.6,0.95
349,2,9,3,6,1136,4,5,4,1,1,3,0,32,0,0,2,3,2,0,1,2,0.4,0.315
731,1,24,4,1,1987,1,3,2,1,1,4,4,21,0,2,1,2,2,0,1,2,0.9,0.19
716,4,30,3,1,3077,0,5,3,1,1,2,2,40,0,1,2,3,2,1,1,1,1.0,0.97
640,1,18,4,6,750,1,1,4,2,1,1,4,27,0,1,1,1,1,0,1,2,0.6,0.2225
804,2,12,4,2,7472,0,1,1,2,1,2,4,24,0,2,1,1,1,0,1,1,0.8,0.8425
737,1,18,4,2,4380,2,3,3,1,1,4,2,35,0,1,1,2,2,1,1,1,0.4,0.8775
329,2,6,4,1,1068,1,5,4,1,1,4,2,28,0,1,1,3,2,0,1,1,0.8,0.85
927,1,48,4,4,10297,1,4,4,1,1,4,0,39,1,0,3,3,2,1,1,2,0.4,0.26
134,4,60,4,1,10144,2,4,2,2,1,4,4,21,0,1,1,3,1,1,1,1,1.0,0.8225
787,4,48,3,4,2751,0,5,4,1,1,3,2,38,0,1,2,3,2,1,1,1,1.0,0.9725
764,4,24,3,2,2463,2,4,4,3,1,3,3,27,0,1,2,3,1,1,1,1,0.9,0.925
784,2,20,4,4,6468,0,1,1,4,1,4,4,60,0,1,1,4,1,1,1,1,0.7,0.83
57,4,36,3,1,9566,1,3,2,2,1,2,2,31,1,1,2,3,1,0,1,1,0.9,0.81
825,1,21,3,2,1602,1,5,4,3,1,3,2,30,0,1,2,3,1,1,1,1,0.5,0.9325
928,4,30,4,1,1867,0,5,4,1,1,4,2,58,0,1,1,3,1,1,1,1,1.0,0.945
859,4,9,4,2,3577,2,3,1,1,2,2,4,26,0,2,1,3,2,0,0,1,0.9,0.935
786,4,22,4,1,2675,3,5,3,1,1,4,2,40,0,1,1,3,1,0,1,1,1.0,0.975
291,2,36,4,4,9398,1,2,1,3,1,4,2,28,0,2,1,4,1,1,1,2,0.3,0.175
46,4,36,4,1,2299,3,5,4,1,1,4,2,39,0,1,1,3,1,0,1,1,1.0,0.9625
277,1,12,4,3,1262,0,5,2,4,1,4,3,49,0,1,1,2,1,1,1,1,0.7,0.9475
841,4,21,2,4,2993,1,3,3,1,1,2,4,28,1,1,2,2,1,0,1,1,0.8,0.915
926,1,18,3,3,1049,1,2,4,2,1,4,3,21,0,2,1,3,1,0,1,1,0.7,0.845
224,4,15,4,4,4657,1,3,3,1,1,2,2,30,0,1,1,3,1,1,1,1,1.0,0.8325
530,2,36,4,6,2273,1,4,3,1,1,1,2,32,0,1,2,3,2,0,1,1,0.5,0.9
280,4,15,3,4,3368,4,5,3,1,1,4,0,23,0,2,2,3,1,1,1,1,1.0,0.9075
0,1,6,3,1,1169,0,5,4,1,1,4,4,67,0,1,2,3,1,1,1,1,0.6,0.9525
817,4,6,3,1,1554,1,4,1,2,1,2,2,24,0,2,2,3,1,1,1,1,0.9,0.885
495,1,24,4,3,2996,0,3,2,3,1,4,2,20,0,1,1,3,1,0,1,2,0.3,0.2
66,4,12,4,1,2171,1,2,2,2,1,2,2,29,2,1,1,3,1,0,1,1,0.8,0.9125
403,4,14,2,2,802,1,3,4,1,1,2,2,27,0,1,2,2,1,0,1,1,0.9,0.9325
563,2,36,4,2,12389,0,3,1,1,1,4,0,37,0,0,1,3,1,1,1,2,0.3,0.1825
481,2,24,4,2,1201,1,2,4,1,1,1,3,26,0,1,1,3,1,0,1,1,0.8,0.9525
571,4,30,3,1,5954,1,4,3,1,3,2,2,38,0,1,1,3,1,0,1,1,1.0,0.9325
882,2,30,3,2,2181,0,5,4,1,1,4,4,36,0,1,2,3,1,0,1,1,0.8,0.9925
294,4,48,3,5,7629,0,5,4,4,1,2,2,46,2,1,2,4,2,0,1,1,0.6,0.8325
619,4,12,4,2,640,1,3,4,4,1,2,4,49,0,1,1,2,1,0,1,1,0.9,0.79
743,1,24,1,3,2483,3,3,4,1,1,4,4,22,1,1,1,3,1,1,1,1,0.6,0.905
245,4,24,4,5,1258,1,4,4,1,1,1,4,25,0,1,1,3,1,1,1,1,0.8,0.91
257,1,12,1,1,2149,1,3,4,4,1,1,0,29,0,0,1,3,1,0,1,2,0.4,0.1925
161,4,18,3,2,1055,1,2,4,2,1,1,3,30,0,1,2,3,1,0,1,1,0.9,0.8975
726,4,15,3,1,1316,3,3,2,3,1,2,3,47,0,1,2,2,1,0,1,1,1.0,0.94
605,1,24,1,3,2828,3,3,4,1,1,4,4,22,1,1,1,3,1,1,1,1,0.6,0.92
953,4,36,4,3,10974,1,1,4,2,1,2,2,26,0,1,2,4,1,1,1,2,0.8,0.1025
436,4,6,4,7,660,3,4,2,3,1,4,4,23,0,2,1,2,1,0,1,1,0.9,0.9075
855,4,24,4,2,1474,2,2,4,3,1,3,4,33,0,1,1,3,1,1,1,1,0.8,0.8425
768,2,12,3,3,3617,1,5,1,1,1,4,2,28,0,2,3,3,1,1,1,1,0.7,0.88
247,4,6,0,2,1204,2,3,4,1,1,1,0,35,2,2,1,3,1,0,0,1,0.7,0.8025
541,4,24,2,2,2032,1,5,4,1,1,4,0,60,0,0,2,3,1,1,1,1,0.9,0.6975
239,1,30,4,1,2522,1,5,1,1,2,3,3,39,0,1,1,3,2,0,1,1,0.7,0.8625
220,2,12,4,1,625,1,2,4,3,2,1,4,26,2,1,1,2,1,0,1,1,0.7,0.88
957,2,9,3,1,1154,1,5,2,1,1,4,4,37,0,1,3,2,1,0,1,1,1.0,0.925
92,4,12,3,1,797,0,5,4,2,1,3,3,33,2,1,1,2,2,0,1,2,0.8,0.1975
114,1,12,4,1,1680,3,5,3,3,1,1,4,35,0,1,1,3,1,0,1,1,0.4,0.9775
798,4,24,2,2,717,0,5,4,3,1,4,2,54,0,1,2,3,1,1,1,1,0.9,0.8875
979,2,15,1,2,1264,2,3,2,3,1,2,3,25,0,2,1,3,1,0,1,2,0.4,0.275
76,1,42,4,1,3965,1,2,4,1,1,3,2,34,0,1,1,3,1,0,1,2,0.7,0.15
981,4,48,4,5,4844,1,1,3,1,1,2,2,33,2,2,1,4,1,1,1,2,0.6,0.325
386,4,18,4,1,1126,0,2,4,2,1,2,4,21,0,2,1,3,1,1,1,1,0.9,0.84
132,4,15,4,3,2708,1,2,2,1,1,3,3,27,2,1,2,2,1,0,1,1,0.9,0.855
863,4,27,3,3,4526,4,2,4,1,1,2,4,32,1,1,2,2,2,1,1,1,0.9,0.8725
990,4,12,3,6,3565,0,2,2,1,1,1,3,37,0,1,2,2,2,0,1,1,1.0,0.92
58,3,18,4,2,1961,1,5,3,2,1,2,2,23,0,1,1,4,1,0,1,1,0.7,0.8875
289,1,24,2,1,1024,1,2,4,3,1,4,4,48,1,1,1,3,1,0,1,2,0.3,0.2325
246,4,12,3,1,717,1,5,4,1,1,4,4,52,0,1,3,3,1,0,1,1,1.0,0.9725
364,1,18,4,3,2473,1,1,4,1,1,1,2,25,0,1,1,1,1,0,1,2,0.4,0.2275
871,3,6,3,2,1343,1,5,1,1,1,4,4,46,0,1,2,3,2,0,0,1,1.0,0.9675
40,4,30,4,1,2333,3,5,4,1,1,2,2,30,2,1,1,4,1,0,1,1,0.8,0.945
89,1,12,0,7,1108,1,4,4,1,1,3,4,28,0,1,2,3,1,0,1,2,0.5,0.15
192,2,27,4,5,3915,1,3,4,1,1,2,2,36,0,1,1,3,2,1,1,2,0.7,0.245
422,2,12,3,2,958,1,4,2,1,1,3,4,47,0,1,2,2,2,0,1,1,0.9,0.9075
68,4,36,4,6,1819,1,3,4,1,1,4,0,37,1,0,1,3,1,1,1,2,0.6,0.2825
661,1,12,4,2,900,0,3,4,3,1,2,2,23,0,1,1,3,1,0,1,2,0.5,0.2225
372,4,10,3,3,2146,1,2,1,2,1,3,4,23,0,2,2,3,1,0,1,1,0.7,0.8975
139,3,12,4,1,1881,1,3,2,2,1,2,2,44,0,2,1,2,1,1,1,1,0.7,0.95
388,2,15,3,5,2326,3,3,2,1,1,4,2,27,2,1,1,3,1,0,1,1,0.8,0.905
832,1,45,0,5,11816,1,5,2,1,1,4,2,29,0,2,2,3,1,0,1,2,0.3,0.1525
118,1,33,3,3,4281,3,3,1,2,1,4,2,23,0,1,2,3,1,0,1,2,0.4,0.2525
579,4,24,4,9,937,1,2,4,3,1,3,2,27,0,1,2,2,1,0,1,1,1.0,0.835
922,1,9,4,1,1366,1,2,3,2,1,4,3,22,0,2,1,3,1,0,1,2,0.3,0.1125
791,4,24,4,4,6313,0,5,3,1,1,4,2,41,0,1,1,4,2,1,1,1,1.0,0.9425
350,4,9,4,10,1236,1,2,1,2,1,4,4,23,0,2,1,3,1,1,1,1,1.0,0.8725
811,2,6,4,1,484,1,4,3,3,2,3,4,28,2,1,1,2,1,0,1,1,0.7,0.8575
434,1,9,4,3,2136,1,3,3,1,1,2,4,25,0,1,1,3,1,0,1,1,0.7,0.9375
669,3,30,3,1,3017,1,5,4,1,1,4,3,47,0,1,1,3,1,0,1,1,0.9,0.955
931,2,9,4,1,1670,1,2,4,2,1,2,2,22,0,1,1,3,1,1,1,2,0.6,0.2675
948,4,18,4,3,1533,1,2,4,3,3,1,3,43,0,1,1,2,2,0,1,2,0.9,0.35
14,1,15,4,2,1403,1,3,2,2,1,4,2,28,0,2,1,3,1,0,1,1,0.6,0.885
375,1,48,1,5,7685,1,4,2,2,2,4,2,37,0,2,1,3,1,0,1,2,0.3,0.155
82,4,18,4,5,1568,2,3,3,2,1,4,3,24,0,2,1,2,1,0,1,1,1.0,0.835
491,2,27,0,5,8318,1,5,2,2,1,4,0,42,0,0,2,4,1,1,1,2,0.5,0.1225
697,4,12,3,2,926,1,1,1,2,1,2,3,38,0,1,1,1,1,0,1,1,0.9,0.9
879,4,30,3,1,6742,0,4,2,1,1,3,3,36,0,1,2,3,1,0,1,1,1.0,0.9475
936,3,9,4,1,745,1,3,3,2,1,2,4,28,0,1,1,2,1,0,1,2,0.8,0.27
88,1,18,4,2,2249,2,4,4,1,1,3,2,30,0,1,1,4,2,1,1,1,0.6,0.96
363,4,6,4,3,1766,1,3,1,3,1,2,3,21,0,2,1,3,1,0,1,1,0.9,0.87
273,2,48,4,1,3060,1,4,4,1,1,4,4,28,0,1,2,3,1,0,1,2,0.8,0.26
172,2,24,2,3,2064,1,1,3,2,1,2,3,34,0,1,1,4,1,1,1,2,0.5,0.2275
554,2,9,4,6,1199,1,4,4,2,1,4,3,67,0,1,2,4,1,1,1,1,0.6,0.93
103,2,9,3,3,1919,1,4,4,1,1,3,2,35,0,2,1,3,1,1,1,1,0.7,0.94
754,4,12,2,7,1555,4,5,4,1,1,4,0,55,0,0,2,3,2,0,1,2,0.7,0.2
673,4,6,3,2,2080,3,3,1,3,1,2,2,24,0,1,1,3,1,0,1,1,0.9,0.93
371,4,18,3,1,6070,1,5,3,1,1,4,2,33,0,1,2,3,1,1,1,1,1.0,0.9325
45,4,11,3,2,1393,1,2,4,2,1,4,2,35,0,1,2,4,1,0,1,1,0.7,0.93
560,1,24,4,4,2964,0,5,4,1,1,4,0,49,2,0,1,3,2,1,1,1,0.4,0.9725
748,4,21,4,4,5248,0,3,1,1,1,3,2,26,0,1,1,3,1,0,1,1,1.0,0.905
419,2,18,4,2,1042,0,3,4,2,1,2,3,33,0,1,1,3,1,0,1,2,0.5,0.1575
604,3,10,4,3,1275,1,2,4,2,1,2,3,23,0,1,1,3,1,0,1,1,0.6,0.7025
725,4,6,3,2,250,4,3,2,2,1,2,4,41,2,1,2,2,1,0,1,1,0.8,0.9775
11,1,48,4,5,4308,1,2,3,2,1,4,3,24,0,2,1,3,1,0,1,2,0.5,0.12
214,4,36,3,1,3342,0,5,4,1,1,2,2,51,0,1,1,3,1,1,1,1,1.0,0.95
344,3,10,4,2,3949,1,2,1,1,2,1,3,37,0,1,1,2,2,0,1,1,0.7,0.8675
700,4,12,4,3,1123,3,3,4,2,1,4,2,29,0,2,1,2,1,0,1,2,0.8,0.2975
720,3,9,0,1,1337,1,2,4,1,1,2,2,34,0,1,2,4,1,1,1,2,0.7,0.18
147,4,12,3,2,682,2,4,4,2,1,3,2,51,0,1,2,3,1,1,1,1,0.9,0.9725
299,2,21,3,3,2745,4,4,3,1,1,2,2,32,0,1,2,3,1,1,1,1,0.7,0.95
283,4,15,3,3,1520,0,5,4,1,1,4,3,63,0,1,1,3,1,0,1,1,1.0,0.975
745,1,13,3,5,1797,1,2,3,1,1,1,3,28,2,1,2,2,1,0,1,1,0.9,0.9275
412,4,12,3,5,2292,1,1,4,1,1,2,2,42,1,1,2,4,1,1,1,2,0.6,0.3425
629,4,9,4,6,3832,0,5,1,1,1,4,4,64,0,1,1,2,1,0,1,1,0.9,0.9375
795,4,9,4,3,2301,2,2,2,2,1,4,3,22,0,2,1,3,1,0,1,1,0.9,0.7525
741,2,10,1,1,1048,1,3,4,1,1,4,4,23,1,1,1,2,1,0,1,1,0.9,0.7825
886,2,24,3,5,2825,0,4,4,1,1,3,0,34,0,1,2,3,2,1,1,1,0.3,0.9375
735,2,36,1,10,3990,0,2,3,2,1,2,0,29,2,1,1,1,1,0,1,1,0.6,0.8175
173,2,8,4,1,1414,1,3,4,1,2,2,4,33,0,1,1,3,1,0,0,1,0.8,0.9175
432,1,6,3,3,1872,1,1,4,1,1,4,0,36,0,0,3,4,1,1,1,1,0.5,0.94
985,1,15,3,3,1433,1,3,4,2,1,3,3,25,0,2,2,3,1,0,1,1,0.7,0.9375
226,2,48,4,1,10961,4,4,1,1,3,2,0,27,2,1,2,3,1,1,1,2,0.3,0.185
305,4,6,4,3,1543,4,3,4,4,1,2,4,33,0,1,1,3,1,0,1,1,0.8,0.9675
31,1,24,4,3,4020,1,3,2,1,1,2,2,27,1,1,1,3,1,0,1,1,0.4,0.8
719,2,20,0,4,6148,2,5,3,3,1,4,2,31,2,1,2,3,1,1,1,1,0.7,0.7375
483,4,15,2,3,960,4,4,3,2,1,2,3,30,0,1,2,3,1,0,1,1,0.8,0.91
766,1,30,4,3,3108,1,2,2,4,1,4,3,31,0,1,1,2,1,0,1,2,0.7,0.2625
285,1,47,4,2,10722,1,2,1,2,1,1,4,35,0,1,1,2,1,1,1,1,0.8,0.675
918,1,24,4,3,2359,2,1,1,4,1,1,3,33,0,1,1,3,1,0,1,2,0.5,0.2875
482,1,30,4,3,3622,4,5,4,2,1,4,3,57,0,2,2,3,1,1,1,1,0.7,0.9275
913,4,11,4,5,2142,4,5,1,4,1,2,4,28,0,1,1,3,1,1,1,1,0.6,0.96
977,2,18,2,5,2427,0,5,4,1,1,2,3,42,0,1,2,3,1,0,1,1,0.7,0.9275
116,1,42,4,1,7174,0,4,4,2,1,3,2,30,0,1,1,4,1,1,1,2,0.6,0.255
618,2,30,4,3,3441,2,3,2,2,3,4,2,21,0,2,1,3,1,0,1,2,0.5,0.2075
652,1,24,4,2,2303,1,5,4,1,3,1,4,45,0,1,1,3,1,0,1,2,0.8,0.2775
704,2,27,4,5,2528,1,2,4,2,1,1,3,32,0,1,1,3,2,1,1,1,0.8,0.9075
95,2,54,0,5,15945,1,2,3,1,1,4,0,58,0,2,1,3,1,1,1,2,0.4,0.1575
261,1,24,4,1,1603,1,5,4,2,1,4,2,55,0,1,1,3,1,0,1,1,0.6,0.9775
635,4,12,4,6,1393,1,5,4,1,1,4,3,47,2,1,3,3,2,1,1,1,0.5,0.9575
592,4,21,4,5,1572,4,5,4,2,1,4,4,36,2,1,1,2,1,0,1,1,0.8,0.98
574,2,9,4,1,1082,1,5,4,1,1,4,2,27,0,1,2,2,1,0,1,1,0.5,0.9225
954,1,12,4,2,1893,1,3,4,2,2,4,3,29,0,1,1,3,1,1,1,1,0.4,0.7475
102,4,6,2,1,932,1,3,3,2,1,2,4,24,0,1,1,3,1,0,1,1,1.0,0.865
62,2,36,0,5,1953,1,5,4,1,1,4,0,61,0,0,1,4,1,1,1,2,0.5,0.1375
204,4,12,3,2,1495,1,5,4,1,1,1,4,38,0,1,2,2,2,0,1,1,1.0,0.935
663,2,6,2,3,1050,1,1,4,1,1,1,3,35,1,1,2,4,1,1,1,1,0.4,0.825
686,3,10,3,1,1347,0,4,4,1,1,2,3,27,0,1,2,3,1,1,1,1,0.9,0.95
184,2,18,3,2,884,1,5,4,1,1,4,2,36,2,1,1,3,2,1,1,2,0.3,0.2775
678,1,24,4,1,2384,1,5,4,1,1,4,4,64,2,2,1,2,1,0,1,1,0.5,0.93
733,4,24,4,4,2603,4,3,2,2,1,4,2,28,0,2,1,3,1,1,1,1,1.0,0.91
91,1,12,3,4,1409,1,5,4,1,1,3,4,54,0,1,1,3,1,0,1,1,0.8,0.96
942,4,24,4,3,929,0,4,4,1,1,2,2,31,1,1,1,3,1,1,1,1,1.0,0.8275
708,2,9,4,1,1206,1,5,4,2,1,4,4,25,0,1,1,3,1,0,1,1,0.5,0.9525
736,2,24,4,4,11560,1,3,1,2,1,4,2,23,0,2,2,4,1,0,1,2,0.7,0.0875
836,4,12,4,1,886,0,3,4,2,1,2,2,21,0,1,1,3,1,0,1,1,0.9,0.8025
730,2,24,2,1,6403,1,2,1,1,1,2,2,33,0,1,1,3,1,0,1,1,0.8,0.8775
411,4,33,3,4,7253,1,4,3,1,1,2,2,35,0,1,2,4,1,1,1,1,1.0,0.8875
346,2,13,3,1,882,1,2,4,1,2,4,4,23,0,1,2,3,1,0,1,1,0.8,0.895
480,2,12,3,1,3573,1,3,1,2,1,1,4,23,0,1,1,2,1,0,1,1,0.9,0.9125
814,1,48,4,2,3931,1,4,4,1,1,4,0,46,0,0,1,3,2,0,1,2,0.2,0.2125
29,1,60,2,5,6836,1,5,3,1,1,4,0,63,0,1,2,3,1,1,1,2,0.2,0.175
54,2,36,2,2,2225,1,5,4,1,1,4,0,57,2,0,2,3,1,1,1,2,0.2,0.2675
487,4,24,4,2,3757,1,5,4,2,3,4,0,62,0,0,1,3,1,1,1,1,0.8,0.945
39,2,9,4,1,458,1,3,4,1,1,3,4,24,0,1,1,3,1,0,1,1,0.8,0.87
157,1,12,1,9,339,1,5,4,3,1,1,2,45,2,1,1,2,1,0,1,1,0.6,0.745
894,4,18,3,1,1169,0,3,4,1,1,3,3,29,0,1,2,3,1,1,1,1,1.0,0.955
146,1,6,3,2,860,1,5,1,2,1,4,0,39,0,1,2,3,1,1,1,1,0.2,0.915
221,1,12,4,6,1200,0,3,4,2,1,4,3,23,2,2,1,3,1,1,1,1,0.6,0.8225
684,2,36,2,5,9857,2,4,1,1,1,3,3,31,0,1,2,2,2,1,1,1,0.7,0.8875
772,4,21,3,4,3275,1,5,1,1,1,4,2,36,0,1,1,4,1,1,1,1,1.0,0.8875
602,2,24,1,6,1837,1,4,4,2,1,4,0,34,2,0,1,2,1,0,1,2,0.3,0.13
800,4,24,3,6,1597,1,5,4,1,1,4,0,54,0,0,2,3,2,0,1,1,0.6,0.8975
394,4,9,3,3,2406,1,1,2,1,1,3,2,31,0,1,1,4,1,0,1,1,0.8,0.825
52,4,12,4,1,1262,1,3,3,1,1,2,2,25,0,1,1,3,1,0,1,1,1.0,0.8375
622,4,48,4,5,3914,0,3,4,4,1,2,4,38,2,1,1,3,1,0,1,2,0.8,0.2375
674,4,21,2,5,2580,3,2,4,1,1,2,4,41,2,1,1,2,2,0,1,2,0.9,0.2625
359,1,30,4,3,2406,1,4,4,2,1,4,4,23,0,2,1,3,1,0,1,2,0.5,0.285
504,1,24,4,2,1207,1,2,4,2,1,4,3,24,0,2,1,3,1,0,1,2,0.5,0.16
402,4,24,2,5,8648,1,2,2,1,1,2,2,27,2,1,2,3,1,1,1,2,0.5,0.15
770,1,24,4,4,2812,0,5,2,2,1,4,4,26,0,2,1,3,1,0,1,1,0.5,0.9675
421,2,12,4,4,2028,0,3,4,1,1,2,2,30,0,1,1,3,1,0,1,1,0.8,0.865
448,3,12,4,3,1424,0,5,3,2,1,4,4,55,0,1,1,4,1,1,1,1,0.5,0.9725
165,4,6,4,3,2978,3,3,1,1,1,2,2,32,0,1,1,3,1,1,1,1,1.0,0.98
284,2,24,3,2,3878,2,2,4,4,1,2,2,37,0,1,1,3,1,1,1,1,0.4,0.9075
80,4,24,4,1,5943,0,2,1,2,1,1,2,44,0,1,2,3,1,1,1,2,0.9,0.245
227,1,12,4,3,7865,1,5,4,1,1,4,0,53,0,0,1,4,1,1,1,2,0.5,0.15
447,2,7,4,1,2576,1,3,2,1,2,2,4,35,0,1,1,3,1,0,1,1,0.8,0.93
353,1,12,0,1,6199,1,3,4,1,1,2,3,28,0,2,2,3,1,1,1,2,0.6,0.16
310,2,48,4,11,5381,0,1,3,1,1,4,0,40,2,0,1,1,1,1,1,1,0.6,0.87
727,1,18,4,1,1882,1,3,4,2,1,4,2,25,2,2,2,3,1,0,1,2,0.3,0.1925
259,4,11,3,1,1154,2,1,4,2,1,4,4,57,0,1,3,2,1,0,1,1,0.8,0.8675
323,1,18,4,3,2659,4,3,4,1,1,2,2,28,0,1,1,3,1,0,1,1,0.5,0.955
9,2,30,3,2,5234,1,1,4,3,1,2,2,28,0,1,2,4,1,0,1,2,0.5,0.13
679,4,18,4,1,1453,1,2,3,2,1,1,4,26,0,1,1,3,1,0,1,1,1.0,0.9025
529,1,6,4,2,662,1,2,3,1,1,4,4,41,0,1,1,2,2,1,1,1,0.8,0.845
30,2,18,4,5,1913,4,2,3,3,1,3,4,36,2,1,1,3,1,1,1,1,0.7,0.9475
789,1,40,3,6,5998,1,3,4,1,1,3,0,27,2,1,1,3,1,1,1,2,0.3,0.2225
179,1,21,3,2,571,1,5,4,1,1,4,4,65,0,1,2,3,1,0,1,1,0.8,0.915
27,3,12,1,1,409,4,3,3,2,1,3,4,42,0,2,2,3,1,0,1,1,0.7,0.8475
33,4,12,3,5,1264,0,5,4,1,1,4,0,57,0,2,1,2,1,0,1,1,0.9,0.97
334,1,24,0,3,4110,1,5,3,1,1,4,0,23,2,2,2,3,2,0,1,2,0.3,0.1025
361,3,12,4,1,3399,0,5,2,1,1,3,2,37,0,1,1,4,1,0,1,1,0.7,0.93
293,3,42,3,4,4796,1,5,4,1,1,4,0,56,0,0,1,3,1,0,1,1,0.9,0.87
782,2,12,0,9,1410,1,3,2,1,1,2,4,31,0,1,1,2,1,1,1,1,0.8,0.83
959,2,24,4,3,3069,2,5,4,1,1,4,0,30,0,0,1,3,1,0,1,1,0.5,0.9125
5,4,36,4,6,9055,0,3,2,1,1,4,0,35,0,0,1,2,2,1,1,1,0.6,0.8775
197,2,12,4,3,951,2,2,4,2,1,4,2,27,2,2,4,3,1,0,1,2,0.3,0.2375
790,2,21,4,5,1188,1,5,2,2,1,4,3,39,0,1,1,3,2,0,1,2,0.8,0.3
392,1,36,4,2,3249,1,4,2,1,1,4,0,39,2,0,1,4,2,1,1,1,0.3,0.8975
